,day,is_member,start_station_code,index,Code,name,latitude,longitude,trip_per_day_2019
212,199,9119,11101,6218,6218.0,Prince-Arthur / St-Urbain,45.51258740220925,-73.57373893260956,55.78391959798995
213,199,10420,11859,6219,6219.0,de l'Hôtel-de-Ville / Roy,45.51740076184449,-73.57460528612137,59.5929648241206
214,199,13949,16648,6220,6220.0,Laval / Duluth,45.519216236873945,-73.57718020677567,83.65829145728644
215,199,28965,34400,6221,6221.0,du Mont-Royal / Clark,45.51941,-73.58685,172.8643216080402
216,199,11827,14590,6222,6222.0,de l'Esplanade / du Mont-Royal,45.51825290855221,-73.5883381962776,73.31658291457286
217,196,14937,19992,6223,6223.0,du Mont-Royal / du Parc,45.517,-73.589,102.0
218,176,8978,11038,6224,6224.0,Villeneuve / du Parc,45.51829,-73.59235,62.71590909090909
219,198,10180,12605,6225,6225.0,Villeneuve / St-Urbain,45.520188,-73.590559,63.66161616161616
220,198,3854,4178,6226,6226.0,Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain),45.575707,-73.561562,21.1010101010101
221,199,20312,25121,6227,6227.0,de l'Esplanade / Laurier,45.52103885732127,-73.59490692615509,126.23618090452261
222,199,4468,5464,6228,6228.0,Waverly / Van Horne,45.527363,-73.607723,27.457286432160803
223,199,10449,12091,6229,6229.0,Coloniale / du Mont-Royal,45.5211613236904,-73.5856157541275,60.75879396984924
224,199,13163,16562,6230,6230.0,Waverly / St-Viateur,45.5238561444472,-73.60012650489807,83.22613065326634
225,199,15850,20020,6231,6231.0,Jeanne-Mance / St-Viateur,45.523026476635074,-73.60184043645859,100.60301507537689
226,168,4373,5485,6232,6232.0,Durocher / Van Horne,45.524265806034656,-73.61127376556396,32.648809523809526
227,199,16012,20654,6233,6233.0,Bernard / Jeanne-Mance,45.5242864769531,-73.60497325658798,103.78894472361809
228,199,9343,11961,6234,6234.0,de l'Arcade / Clark,45.527410360532215,-73.60393524169922,60.10552763819096
229,199,10701,11934,6235,6235.0,St-Dominique / St-Viateur,45.52655700191558,-73.5982757806778,59.969849246231156
230,199,10612,12283,6236,6236.0,Laurier / de Bordeaux,45.5376492623372,-73.57978463172913,61.72361809045226
231,199,9134,10160,6237,6237.0,Gilford / de Lanaudière,45.53200800170645,-73.58044445514679,51.05527638190955
232,198,2997,3692,6240,6240.0,Parc Kent (de Kent / Hudson),45.5057209331225,-73.62945914268494,18.646464646464647
233,199,6615,7965,6241,6241.0,Querbes / Laurier,45.51753998795678,-73.59783187508583,40.02512562814071
