,day,emplacement_pk_start,index,pk,name,latitude,longitude,trip_per_day_2022
203,201,4480,348,348.0,de Hampton / de Monkland,45.471179,-73.627002,22.28855721393035
204,194,8876,349,349.0,Marcil / Sherbrooke,45.471743,-73.613924,45.75257731958763
205,202,6657,350,350.0,Harvard / de Monkland,45.474565,-73.624036,32.95544554455446
206,202,7043,351,351.0,de Monkland / Girouard,45.477107,-73.621438,34.866336633663366
207,147,2742,352,352.0,Notre-Dame-de-Grâce / Décarie,45.477353,-73.615372,18.653061224489797
208,202,11190,354,354.0,Métro Snowdon (de Westbury / Queen-Mary),45.485385,-73.628142,55.396039603960396
209,169,3796,355,355.0,Lionel-Groulx / George-Vanier,45.486219,-73.573747,22.46153846153846
210,202,6590,356,356.0,Canning / Notre-Dame,45.486319,-73.570233,32.62376237623762
211,198,14241,357,357.0,des Seigneurs / Notre-Dame,45.487723,-73.569083,71.92424242424242
212,202,9615,358,358.0,Métro Georges-Vanier (St-Antoine / Canning),45.4891,-73.57656,47.5990099009901
213,202,47477,359,359.0,Métro Atwater (Atwater / Ste-Catherine),45.489476,-73.584566,235.03465346534654
214,202,7142,360,360.0,Atwater / Sherbrooke,45.491226,-73.58763,35.35643564356435
215,202,5175,361,361.0,Beaucourt / de la Côte-Ste-Catherine,45.491513,-73.633649,25.61881188118812
216,202,24994,362,362.0,Chomedey / de Maisonneuve,45.4918,-73.584006,123.73267326732673
217,162,16235,363,363.0,Ste-Catherine / St-Marc,45.492897,-73.580294,100.21604938271605
218,202,7933,364,364.0,Lincoln / du Fort,45.493034,-73.583836,39.272277227722775
219,153,19964,365,365.0,St-Mathieu / Ste-Catherine,45.49368,-73.579146,130.48366013071896
220,202,6666,366,366.0,St-Marc / Sherbrooke,45.494514,-73.583368,33.0
221,202,18228,368,368.0,Jean-Brillant / de la Côte-des-Neiges,45.495415,-73.622341,90.23762376237623
222,141,5146,369,369.0,Hôpital général juif (de la Côte Ste-Catherine / Légaré),45.496302,-73.629822,36.49645390070922
223,202,35349,370,370.0,Mackay / de Maisonneuve,45.49683,-73.57913,174.9950495049505
224,70,4269,371,371.0,Swail / Decelles,45.497055,-73.618652,60.98571428571429
225,202,14515,373,373.0,de Kent / de la Côte-des-Neiges,45.501449,-73.633051,71.85643564356435
226,202,8228,374,374.0,de Soissons / de Darlington,45.506899,-73.623526,40.73267326732673
227,202,9049,375,375.0,Parc Kent (de Kent / Hudson),45.505721,-73.629459,44.7970297029703
228,202,16913,376,376.0,Édouard-Montpetit / de Stirling,45.50723,-73.615085,83.72772277227723
229,202,11472,377,377.0,Wilderton  / Van Horne,45.510142,-73.624752,56.79207920792079
230,202,18094,378,378.0,Tupper / du Fort,45.49123,-73.580782,89.57425742574257
231,202,17102,379,379.0,St-Mathieu / Sherbrooke,45.495789,-73.582596,84.66336633663366
232,187,29855,381,381.0,Crescent / de Maisonneuve,45.498112,-73.577615,159.6524064171123
233,202,17435,382,382.0,Drummond / Ste-Catherine,45.498639,-73.574227,86.31188118811882
234,193,8520,383,383.0,de la Cathédrale / René-Lévesque,45.499191,-73.569421,44.145077720207254
235,194,13913,384,384.0,Cypress / Peel,45.499325,-73.571768,71.71649484536083
236,202,14737,385,385.0,Drummond / de Maisonneuve,45.49947,-73.57591,72.95544554455445
237,25,1320,386,386.0,de la Montagne / Sherbrooke,45.499745,-73.579034,52.8
238,202,7783,387,387.0,Notre-Dame / Gauvin,45.500105,-73.560199,38.52970297029703
239,202,39552,388,388.0,Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,195.8019801980198
